Product_ID,Production_Date,Inspection_Result,Defect_Type,Root_Cause_Category,Supplier_ID,Shift,Inspector_ID,Rework_Required,Cost_of_Defect,First_Time_Yield
P3877,2024-11-14,Fail,Weld Defect,Supplier Defect,S001,B,INSP003,Yes,1592,No
P2698,2024-04-06,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P1415,2025-02-15,Fail,Porosity,Material Issue,S001,A,INSP004,Yes,284,No
P4751,2025-03-13,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P7035,2024-10-07,Pass,N/A,N/A,S004,C,INSP003,No,0,Yes
P8101,2025-02-04,Pass,N/A,N/A,S001,C,INSP005,No,0,Yes
P6189,2024-01-04,Pass,N/A,N/A,S003,C,INSP005,No,0,Yes
P6660,2024-07-08,Pass,N/A,N/A,S002,A,INSP005,No,0,Yes
P9134,2024-10-01,Fail,Porosity,Material Issue,S001,B,INSP004,Yes,334,No
P7784,2024-08-07,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P7662,2023-10-17,Pass,N/A,N/A,S004,B,INSP002,No,0,Yes
P5325,2023-12-16,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P1360,2024-03-11,Pass,N/A,N/A,S003,C,INSP001,No,0,Yes
P3015,2024-11-22,Pass,N/A,N/A,S004,A,INSP005,No,0,Yes
P7103,2023-10-19,Pass,N/A,N/A,S004,A,INSP001,No,0,Yes
P5883,2024-10-23,Pass,N/A,N/A,S003,B,INSP001,No,0,Yes
P3463,2023-11-02,Pass,N/A,N/A,S001,B,INSP003,No,0,Yes
P2926,2024-08-23,Pass,N/A,N/A,S004,B,INSP003,No,0,Yes
P2524,2023-12-21,Pass,N/A,N/A,S005,C,INSP005,No,0,Yes
P7317,2024-05-28,Pass,N/A,N/A,S004,A,INSP005,No,0,Yes
P6068,2023-08-03,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P7954,2025-01-06,Fail,Weld Defect,Supplier Defect,S001,C,INSP001,Yes,1131,No
P5885,2023-09-05,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P3024,2023-09-12,Pass,N/A,N/A,S004,B,INSP002,No,0,Yes
P6280,2024-07-14,Pass,N/A,N/A,S004,C,INSP003,No,0,Yes
P1300,2025-02-17,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P8697,2024-12-20,Fail,Material Flaw,Human Error,S002,B,INSP003,Yes,1646,No
P1996,2024-04-22,Pass,N/A,N/A,S005,C,INSP004,No,0,Yes
P9920,2023-10-07,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P4159,2023-09-26,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P8346,2024-12-23,Fail,Porosity,Machine Fault,S004,A,INSP001,Yes,1799,No
P1430,2024-09-22,Pass,N/A,N/A,S003,B,INSP005,No,0,Yes
P6120,2023-09-21,Pass,N/A,N/A,S004,C,INSP003,No,0,Yes
P5655,2024-04-16,Pass,N/A,N/A,S002,B,INSP003,No,0,Yes
P4792,2024-05-05,Pass,N/A,N/A,S002,C,INSP002,No,0,Yes
P7764,2023-05-11,Fail,Misalignment,Human Error,S001,B,INSP003,Yes,370,No
P7643,2023-11-12,Pass,N/A,N/A,S005,B,INSP005,No,0,Yes
P8613,2024-06-04,Pass,N/A,N/A,S002,B,INSP003,No,0,Yes
P1890,2024-03-17,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P9808,2023-05-03,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P3175,2024-11-12,Pass,N/A,N/A,S005,C,INSP004,No,0,Yes
P8215,2023-12-11,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P1294,2024-02-21,Pass,N/A,N/A,S004,A,INSP001,No,0,Yes
P5977,2023-07-03,Pass,N/A,N/A,S004,B,INSP001,No,0,Yes
P4644,2023-04-16,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P7835,2024-11-04,Fail,Misalignment,Human Error,S003,A,INSP003,Yes,1571,No
P6415,2023-07-17,Fail,Surface Crack,Material Issue,S002,B,INSP001,Yes,1518,No
P8841,2025-01-01,Pass,N/A,N/A,S005,A,INSP002,No,0,Yes
P2553,2024-01-24,Pass,N/A,N/A,S001,C,INSP001,No,0,Yes
P5157,2024-11-23,Pass,N/A,N/A,S004,C,INSP002,No,0,Yes
P8865,2024-02-11,Pass,N/A,N/A,S005,C,INSP004,No,0,Yes
P5363,2023-07-23,Pass,N/A,N/A,S002,A,INSP005,No,0,Yes
P2369,2024-06-28,Pass,N/A,N/A,S005,A,INSP005,No,0,Yes
P2304,2023-09-26,Pass,N/A,N/A,S001,A,INSP001,No,0,Yes
P8654,2023-05-06,Fail,Porosity,Human Error,S002,A,INSP005,Yes,331,No
P3752,2024-11-08,Fail,Misalignment,Design Flaw,S004,A,INSP003,Yes,336,No
P1782,2023-11-25,Pass,N/A,N/A,S004,B,INSP001,No,0,Yes
P6531,2024-07-20,Pass,N/A,N/A,S002,A,INSP003,No,0,Yes
P3001,2025-03-20,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P8371,2024-09-02,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P5128,2023-08-24,Pass,N/A,N/A,S003,B,INSP005,No,0,Yes
P4136,2023-05-12,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P2746,2024-02-20,Pass,N/A,N/A,S005,C,INSP003,No,0,Yes
P9322,2023-06-13,Fail,Porosity,Material Issue,S004,C,INSP002,Yes,1070,No
P6798,2023-07-27,Pass,N/A,N/A,S004,B,INSP001,No,0,Yes
P2716,2024-07-14,Pass,N/A,N/A,S003,B,INSP004,No,0,Yes
P4334,2024-12-10,Pass,N/A,N/A,S003,B,INSP004,No,0,Yes
P3394,2024-01-01,Pass,N/A,N/A,S001,A,INSP001,No,0,Yes
P5898,2024-06-29,Fail,Misalignment,Human Error,S003,A,INSP005,Yes,1177,No
P2463,2023-09-26,Pass,N/A,N/A,S002,B,INSP005,No,0,Yes
P7257,2024-12-12,Fail,Weld Defect,Human Error,S002,B,INSP005,Yes,1135,No
P1463,2024-01-31,Pass,N/A,N/A,S001,C,INSP003,No,0,Yes
P3263,2023-07-08,Pass,N/A,N/A,S004,A,INSP001,No,0,Yes
P4625,2023-08-24,Fail,Surface Crack,Material Issue,S003,B,INSP001,Yes,540,No
P7481,2024-06-04,Pass,N/A,N/A,S005,B,INSP005,No,0,Yes
P4311,2024-05-18,Pass,N/A,N/A,S003,A,INSP005,No,0,Yes
P8942,2024-07-01,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P5292,2023-09-06,Pass,N/A,N/A,S005,B,INSP001,No,0,Yes
P4652,2024-12-28,Pass,N/A,N/A,S004,C,INSP005,No,0,Yes
P6626,2024-12-30,Pass,N/A,N/A,S004,C,INSP005,No,0,Yes
P2337,2023-06-21,Pass,N/A,N/A,S005,B,INSP001,No,0,Yes
P3026,2024-03-31,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P2949,2024-10-26,Pass,N/A,N/A,S002,C,INSP001,No,0,Yes
P1463,2024-02-21,Pass,N/A,N/A,S004,A,INSP003,No,0,Yes
P9642,2024-01-27,Pass,N/A,N/A,S002,C,INSP004,No,0,Yes
P8073,2024-09-15,Pass,N/A,N/A,S005,C,INSP005,No,0,Yes
P8447,2023-12-03,Pass,N/A,N/A,S005,B,INSP004,No,0,Yes
P3613,2024-05-25,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P7236,2023-04-17,Pass,N/A,N/A,S003,B,INSP003,No,0,Yes
P6862,2024-01-29,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P6852,2024-08-19,Pass,N/A,N/A,S002,A,INSP004,No,0,Yes
P9582,2024-10-01,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P1865,2024-03-30,Pass,N/A,N/A,S004,B,INSP005,No,0,Yes
P5395,2023-12-04,Pass,N/A,N/A,S003,B,INSP005,No,0,Yes
P9042,2024-04-13,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P1043,2025-02-12,Fail,Weld Defect,Machine Fault,S005,A,INSP005,Yes,1297,No
P9383,2023-06-12,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P1494,2024-01-08,Pass,N/A,N/A,S002,B,INSP001,No,0,Yes
P2360,2023-06-19,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P4810,2025-01-20,Pass,N/A,N/A,S005,A,INSP003,No,0,Yes
P1414,2023-11-25,Pass,N/A,N/A,S004,A,INSP001,No,0,Yes
P3517,2024-11-17,Pass,N/A,N/A,S003,B,INSP001,No,0,Yes
P7530,2024-01-13,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P4289,2025-04-04,Pass,N/A,N/A,S005,B,INSP001,No,0,Yes
P3927,2024-02-23,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P6287,2024-07-16,Fail,Porosity,Human Error,S002,B,INSP004,Yes,1441,No
P8786,2024-10-10,Fail,Porosity,Human Error,S002,A,INSP005,Yes,1179,No
P2340,2023-08-14,Pass,N/A,N/A,S005,B,INSP004,No,0,Yes
P7713,2023-12-02,Pass,N/A,N/A,S004,A,INSP003,No,0,Yes
P1446,2023-11-01,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P4964,2024-02-13,Fail,Surface Crack,Material Issue,S001,C,INSP001,Yes,1795,No
P3597,2024-07-04,Pass,N/A,N/A,S002,A,INSP002,No,0,Yes
P7295,2023-06-26,Fail,Material Flaw,Material Issue,S002,B,INSP005,Yes,512,No
P4418,2025-01-21,Pass,N/A,N/A,S005,C,INSP001,No,0,Yes
P1999,2023-05-16,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P7022,2024-10-30,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P5582,2024-05-06,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P4716,2023-08-19,Fail,Weld Defect,Human Error,S005,B,INSP004,Yes,301,No
P8279,2023-11-25,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P7212,2025-03-02,Pass,N/A,N/A,S005,A,INSP002,No,0,Yes
P4291,2024-08-22,Pass,N/A,N/A,S003,C,INSP003,No,0,Yes
P8503,2024-06-21,Pass,N/A,N/A,S005,B,INSP003,No,0,Yes
P8558,2023-05-11,Pass,N/A,N/A,S004,B,INSP004,No,0,Yes
P6748,2024-10-19,Pass,N/A,N/A,S003,A,INSP002,No,0,Yes
P5870,2023-04-26,Fail,Weld Defect,Design Flaw,S001,A,INSP005,Yes,1716,No
P2798,2025-03-15,Pass,N/A,N/A,S002,C,INSP002,No,0,Yes
P4623,2024-11-20,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P3281,2023-11-19,Pass,N/A,N/A,S004,C,INSP002,No,0,Yes
P8267,2025-03-02,Pass,N/A,N/A,S005,B,INSP005,No,0,Yes
P3863,2025-02-24,Pass,N/A,N/A,S005,C,INSP005,No,0,Yes
P5570,2024-04-22,Pass,N/A,N/A,S002,B,INSP002,No,0,Yes
P1356,2025-04-02,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P3548,2024-05-23,Fail,Surface Crack,Human Error,S002,B,INSP001,Yes,1554,No
P7268,2025-01-17,Pass,N/A,N/A,S005,C,INSP004,No,0,Yes
P7793,2024-02-22,Pass,N/A,N/A,S005,C,INSP005,No,0,Yes
P7861,2024-02-05,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P6669,2025-01-04,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P4578,2023-09-04,Pass,N/A,N/A,S001,A,INSP002,No,0,Yes
P8457,2023-12-13,Pass,N/A,N/A,S001,A,INSP002,No,0,Yes
P6009,2023-08-05,Pass,N/A,N/A,S002,B,INSP005,No,0,Yes
P3674,2024-08-30,Pass,N/A,N/A,S002,A,INSP001,No,0,Yes
P5763,2024-08-08,Pass,N/A,N/A,S004,A,INSP004,No,0,Yes
P9909,2023-06-21,Fail,Surface Crack,Human Error,S004,B,INSP004,Yes,304,No
P3262,2024-04-25,Pass,N/A,N/A,S005,C,INSP003,No,0,Yes
P2307,2024-02-02,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P4366,2024-02-02,Fail,Porosity,Machine Fault,S004,B,INSP003,Yes,858,No
P9463,2023-05-06,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P2566,2025-01-12,Pass,N/A,N/A,S002,C,INSP001,No,0,Yes
P2825,2023-07-02,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P1372,2023-07-11,Pass,N/A,N/A,S003,C,INSP004,No,0,Yes
P2986,2024-07-21,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P1785,2024-02-18,Fail,Material Flaw,Design Flaw,S004,A,INSP003,Yes,478,No
P7627,2025-01-12,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P3769,2025-02-10,Pass,N/A,N/A,S005,B,INSP003,No,0,Yes
P3114,2024-10-20,Fail,Porosity,Design Flaw,S003,B,INSP005,Yes,1941,No
P3623,2025-01-30,Fail,Porosity,Supplier Defect,S001,B,INSP002,Yes,1297,No
P2475,2024-12-13,Pass,N/A,N/A,S003,C,INSP003,No,0,Yes
P4402,2023-11-02,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P8209,2024-10-11,Fail,Surface Crack,Material Issue,S002,A,INSP004,Yes,1992,No
P5158,2023-08-28,Fail,Material Flaw,Human Error,S005,C,INSP003,Yes,764,No
P7077,2024-11-04,Pass,N/A,N/A,S002,A,INSP003,No,0,Yes
P2645,2024-03-05,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P1855,2023-05-13,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P3856,2024-07-18,Pass,N/A,N/A,S004,C,INSP005,No,0,Yes
P1299,2025-01-15,Pass,N/A,N/A,S004,B,INSP003,No,0,Yes
P5591,2024-07-14,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P7464,2024-10-23,Pass,N/A,N/A,S001,C,INSP001,No,0,Yes
P2412,2023-11-23,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P7683,2024-05-29,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P7989,2024-06-05,Pass,N/A,N/A,S001,A,INSP001,No,0,Yes
P3782,2023-10-09,Pass,N/A,N/A,S005,A,INSP002,No,0,Yes
P5449,2023-04-30,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P2049,2024-04-19,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P2315,2025-03-09,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P6874,2024-12-29,Pass,N/A,N/A,S001,A,INSP002,No,0,Yes
P1417,2023-08-24,Pass,N/A,N/A,S005,B,INSP003,No,0,Yes
P1215,2024-12-10,Fail,Surface Crack,Material Issue,S001,B,INSP003,Yes,1876,No
P3285,2024-05-07,Pass,N/A,N/A,S004,B,INSP003,No,0,Yes
P2695,2024-12-06,Pass,N/A,N/A,S004,B,INSP005,No,0,Yes
P3838,2024-04-23,Pass,N/A,N/A,S003,C,INSP001,No,0,Yes
P6806,2023-06-08,Pass,N/A,N/A,S002,A,INSP004,No,0,Yes
P1086,2023-12-08,Fail,Porosity,Supplier Defect,S001,C,INSP002,Yes,1916,No
P1715,2023-06-16,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P8477,2025-02-27,Fail,Material Flaw,Design Flaw,S002,B,INSP002,Yes,1007,No
P3812,2025-01-12,Pass,N/A,N/A,S003,C,INSP005,No,0,Yes
P8420,2024-11-20,Pass,N/A,N/A,S002,B,INSP005,No,0,Yes
P7527,2024-05-07,Pass,N/A,N/A,S005,A,INSP002,No,0,Yes
P6106,2023-08-18,Pass,N/A,N/A,S002,B,INSP003,No,0,Yes
P8056,2023-08-07,Pass,N/A,N/A,S004,B,INSP004,No,0,Yes
P5536,2023-12-21,Fail,Porosity,Human Error,S004,B,INSP002,Yes,1272,No
P3551,2024-08-03,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P8469,2024-07-14,Fail,Porosity,Supplier Defect,S001,A,INSP001,Yes,1849,No
P9679,2024-09-29,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P9990,2024-07-12,Pass,N/A,N/A,S004,B,INSP005,No,0,Yes
P6882,2023-11-02,Pass,N/A,N/A,S003,C,INSP004,No,0,Yes
P6944,2024-07-22,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P1588,2023-05-29,Pass,N/A,N/A,S001,B,INSP004,No,0,Yes
P4758,2023-08-24,Pass,N/A,N/A,S003,C,INSP003,No,0,Yes
P9443,2024-12-10,Pass,N/A,N/A,S001,C,INSP005,No,0,Yes
P8669,2024-12-27,Pass,N/A,N/A,S005,B,INSP002,No,0,Yes
P4126,2024-05-26,Pass,N/A,N/A,S004,B,INSP003,No,0,Yes
P1915,2023-10-06,Pass,N/A,N/A,S005,C,INSP003,No,0,Yes
P1647,2023-10-16,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P5415,2023-05-01,Pass,N/A,N/A,S004,C,INSP004,No,0,Yes
P6631,2024-03-15,Pass,N/A,N/A,S005,A,INSP003,No,0,Yes
P8241,2023-12-25,Pass,N/A,N/A,S003,C,INSP001,No,0,Yes
P1821,2024-08-27,Pass,N/A,N/A,S002,B,INSP001,No,0,Yes
P6193,2024-08-06,Pass,N/A,N/A,S004,A,INSP005,No,0,Yes
P2040,2023-11-08,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P7488,2024-03-02,Pass,N/A,N/A,S003,A,INSP005,No,0,Yes
P8635,2023-09-11,Pass,N/A,N/A,S003,C,INSP005,No,0,Yes
P2342,2024-04-01,Pass,N/A,N/A,S004,C,INSP002,No,0,Yes
P3720,2023-12-20,Pass,N/A,N/A,S003,A,INSP003,No,0,Yes
P2840,2024-12-19,Pass,N/A,N/A,S002,B,INSP003,No,0,Yes
P4265,2024-04-28,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P2059,2024-01-08,Pass,N/A,N/A,S004,B,INSP005,No,0,Yes
P1015,2023-10-10,Pass,N/A,N/A,S002,A,INSP005,No,0,Yes
P8659,2024-11-05,Pass,N/A,N/A,S004,C,INSP004,No,0,Yes
P5311,2025-01-09,Pass,N/A,N/A,S003,C,INSP001,No,0,Yes
P5096,2024-06-13,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P2349,2024-06-20,Pass,N/A,N/A,S004,C,INSP001,No,0,Yes
P7641,2024-04-25,Pass,N/A,N/A,S001,A,INSP005,No,0,Yes
P4497,2024-04-23,Fail,Weld Defect,Supplier Defect,S001,C,INSP003,Yes,1440,No
P1257,2024-10-09,Pass,N/A,N/A,S004,C,INSP003,No,0,Yes
P3264,2025-01-13,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P6135,2024-06-11,Pass,N/A,N/A,S002,A,INSP001,No,0,Yes
P6945,2025-03-15,Pass,N/A,N/A,S004,A,INSP003,No,0,Yes
P9458,2024-05-07,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P1877,2024-05-03,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P5949,2023-12-12,Fail,Material Flaw,Material Issue,S003,B,INSP003,Yes,1785,No
P2654,2024-05-16,Fail,Surface Crack,Material Issue,S002,B,INSP002,Yes,1552,No
P1128,2023-08-21,Pass,N/A,N/A,S003,B,INSP005,No,0,Yes
P1476,2025-01-24,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P4683,2024-01-04,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P7895,2023-08-02,Fail,Weld Defect,Human Error,S003,A,INSP001,Yes,533,No
P3822,2023-09-08,Pass,N/A,N/A,S004,A,INSP002,No,0,Yes
P1344,2023-05-04,Pass,N/A,N/A,S004,B,INSP002,No,0,Yes
P3367,2023-07-09,Pass,N/A,N/A,S005,A,INSP005,No,0,Yes
P4917,2024-02-25,Pass,N/A,N/A,S002,A,INSP001,No,0,Yes
P5104,2024-04-07,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P1737,2023-12-06,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P9292,2024-04-30,Pass,N/A,N/A,S005,B,INSP004,No,0,Yes
P4232,2023-08-25,Fail,Surface Crack,Design Flaw,S001,C,INSP003,Yes,354,No
P6225,2025-01-06,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P2636,2023-10-14,Pass,N/A,N/A,S003,B,INSP005,No,0,Yes
P6602,2023-09-24,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P1347,2024-03-18,Pass,N/A,N/A,S002,A,INSP004,No,0,Yes
P4053,2024-11-14,Pass,N/A,N/A,S003,A,INSP003,No,0,Yes
P8468,2024-01-27,Pass,N/A,N/A,S003,B,INSP002,No,0,Yes
P1412,2025-02-16,Fail,Porosity,Machine Fault,S004,A,INSP004,Yes,1945,No
P5283,2024-09-18,Pass,N/A,N/A,S001,B,INSP002,No,0,Yes
P5386,2024-09-17,Pass,N/A,N/A,S004,A,INSP005,No,0,Yes
P3995,2024-12-28,Fail,Material Flaw,Human Error,S005,B,INSP004,Yes,1915,No
P1223,2024-12-11,Pass,N/A,N/A,S002,A,INSP005,No,0,Yes
P5401,2024-06-25,Fail,Weld Defect,Machine Fault,S003,B,INSP002,Yes,795,No
P1783,2023-11-15,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P3546,2023-04-29,Pass,N/A,N/A,S001,A,INSP001,No,0,Yes
P5213,2023-05-15,Pass,N/A,N/A,S005,B,INSP002,No,0,Yes
P9200,2024-03-08,Pass,N/A,N/A,S005,B,INSP003,No,0,Yes
P5405,2024-09-19,Pass,N/A,N/A,S004,A,INSP004,No,0,Yes
P2596,2024-04-14,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P6519,2025-01-02,Pass,N/A,N/A,S002,B,INSP001,No,0,Yes
P2599,2023-04-20,Pass,N/A,N/A,S004,C,INSP004,No,0,Yes
P8046,2024-09-10,Pass,N/A,N/A,S001,A,INSP003,No,0,Yes
P4435,2024-05-27,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P6773,2023-11-13,Pass,N/A,N/A,S004,A,INSP001,No,0,Yes
P5079,2023-08-10,Pass,N/A,N/A,S001,A,INSP005,No,0,Yes
P7306,2023-11-09,Pass,N/A,N/A,S004,B,INSP002,No,0,Yes
P5327,2025-02-07,Pass,N/A,N/A,S005,C,INSP002,No,0,Yes
P1854,2023-05-24,Pass,N/A,N/A,S004,B,INSP004,No,0,Yes
P8809,2023-10-22,Fail,Surface Crack,Material Issue,S002,C,INSP004,Yes,207,No
P2983,2024-09-25,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P1136,2023-12-20,Pass,N/A,N/A,S002,C,INSP004,No,0,Yes
P2656,2023-05-04,Pass,N/A,N/A,S004,C,INSP005,No,0,Yes
P6105,2025-01-07,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P5132,2024-04-11,Pass,N/A,N/A,S005,C,INSP005,No,0,Yes
P9745,2024-04-05,Pass,N/A,N/A,S002,A,INSP003,No,0,Yes
P3851,2025-03-23,Pass,N/A,N/A,S003,A,INSP001,No,0,Yes
P4380,2025-03-04,Pass,N/A,N/A,S002,A,INSP002,No,0,Yes
P9961,2025-03-15,Pass,N/A,N/A,S003,B,INSP002,No,0,Yes
P2074,2024-08-25,Pass,N/A,N/A,S004,C,INSP005,No,0,Yes
P7326,2023-12-10,Pass,N/A,N/A,S001,C,INSP004,No,0,Yes
P6958,2023-05-04,Fail,Surface Crack,Supplier Defect,S005,A,INSP001,Yes,1086,No
P1632,2024-12-19,Pass,N/A,N/A,S004,A,INSP002,No,0,Yes
P3082,2023-11-20,Pass,N/A,N/A,S004,B,INSP001,No,0,Yes
P4582,2023-12-07,Pass,N/A,N/A,S001,B,INSP002,No,0,Yes
P5717,2023-08-07,Pass,N/A,N/A,S005,A,INSP004,No,0,Yes
P2710,2023-10-21,Fail,Surface Crack,Supplier Defect,S002,A,INSP001,Yes,159,No
P2121,2025-03-16,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P6789,2024-02-28,Pass,N/A,N/A,S002,C,INSP003,No,0,Yes
P2371,2023-11-19,Pass,N/A,N/A,S005,A,INSP002,No,0,Yes
P8083,2025-04-03,Pass,N/A,N/A,S001,B,INSP004,No,0,Yes
P1217,2023-10-18,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P6802,2023-07-04,Pass,N/A,N/A,S002,C,INSP001,No,0,Yes
